startdate, enddate, title, description, importance, link, icon, image, date_display, low threshold, high threshold, y_position
"1926-07-01 19:14:00","1926-07-01 19:14:00","Felfort (1)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1UFbhxA-cbIsXwIpsGvYvM4MxCZNmW06G"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://upload.wikimedia.org/wikipedia/commons/c/c3/Felfort_logo.png"",""display_class"":""inline"",""scale"":""15"",""width"":""503"",""height"":""287""}","da","1","100","0",""
"1926-08-05 11:17:00","1926-08-05 11:17:00","Loma Negra","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3mbGVpdnJRSVoyWFk"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://bustamantepublicidad.com/wp-content/uploads/2016/09/logo-loma-negra.png"",""display_class"":""inline"",""scale"":""15"",""width"":""500"",""height"":""500""}","da","1","100","0",""
"1926-11-18 08:58:00","1926-11-18 08:58:00","Milkaut","<p></p>","50","[{""url"":""https://drive.google.com/open?id=17ljcEOJPXKEK99rxAKftgQA6i2TuDsDP"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://upload.wikimedia.org/wikipedia/commons/6/69/Logo_Milkaut.png"",""display_class"":""inline"",""scale"":""15"",""width"":""591"",""height"":""373""}","da","1","100","0",""
"1927-07-01 07:07:00","1927-07-01 07:07:00","Colgate - Palmolive","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3maGh3WTZfLUM0MXc"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Colgate_logo_red.svg/1200px-Colgate_logo_red.svg.png"",""display_class"":""inline"",""scale"":""10"",""width"":""1200"",""height"":""304""}","da","1","100","0",""
"1929-10-29 20:05:00","1929-10-29 20:05:00","La Serenísima (1)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3mNzEyc2FtdWtfaDg"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://vignette.wikia.nocookie.net/logopedia/images/3/3c/La_Seren%C3%ADsima_logo.jpg/revision/latest?cb=20131215062122"",""display_class"":""inline"",""scale"":""20"",""width"":""494"",""height"":""190""}","da","1","100","0",""
"1929-10-30 00:02:00","1929-10-30 00:02:00","La Serenísima (2)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1j8zCar_3yn6Tvujep4fMLtCP8Sp2vOX0"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1929-10-30 00:36:00","1929-10-30 00:36:00","La Serenísima (3)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=13Mihb2waVLl3iuq8_TzGDzlPwElGQ2Yi"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1931-01-01 11:29:00","1931-01-01 11:29:00","Johnson &amp; Johnson","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3mRVZpYmRJRnVHTkk"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://99designs-blog.imgix.net/blog/wp-content/uploads/2017/01/johnson-johnson.png?auto=format&q=60&fit=max&w=930"",""display_class"":""inline"",""scale"":""20"",""width"":""930"",""height"":""195""}","da","1","100","0",""
"1931-07-01 13:00:00","1931-07-01 13:00:00","Molina Cañuelas","<p></p>","55","[{""url"":""https://drive.google.com/open?id=1THLpLwwre3eqJszQuKHCyxHKp6ZjZ-zv"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","ye","1","100","0",""
"1931-07-01 19:13:00","1931-07-01 19:13:00","PHILCO","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3mbjRkNlRCYVhUZ00"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://tuquejasuma.com/media/cache/cb/41/cb413a30ce59c42062daa6a591ab8b33.jpg"",""display_class"":""inline"",""scale"":""20"",""width"":""470"",""height"":""129""}","da","1","100","0",""
"1934-03-17 00:56:00","1934-03-17 00:56:00","Bagó","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1l-w3giVJlfSkPvAAcpnydss9twhr79gh"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://www.vectorlogo.es/wp-content/uploads/2019/01/logo-vector-bago.jpg"",""display_class"":""inline"",""scale"":""15"",""width"":""630"",""height"":""320""}","da","1","100","0",""
"1935-06-19 17:22:00","1935-06-19 17:22:00","Phillips","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1iPmDi9tOJMCklFA-2kyRfaINABvoe_Rw"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Philips_logo_new.svg/1280px-Philips_logo_new.svg.png"",""display_class"":""inline"",""scale"":""10"",""width"":""1280"",""height"":""236""}","da","1","100","0",""
"1940-07-02 01:38:00","1940-07-02 01:38:00","SanCor","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1YweKcCLWUf85lH0J4yHrXC2PpAV68AF2"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Sancor_lact_logo.png/245px-Sancor_lact_logo.png"",""display_class"":""inline"",""scale"":""35"",""width"":""245"",""height"":""162""}","da","1","100","0",""
"1941-04-15 02:20:00","1941-04-15 02:20:00","Fernet Branca","<p></p>","38","[{""url"":""https://drive.google.com/open?id=1dI3VhjW63TkZTKc0Vw5oSTwJmSIs_h5V"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://http2.mlstatic.com/fernet-branca-x750-palermo-no-lo-dudes-D_NQ_NP_455401-MLA8757221104_062015-F.jpg"",""display_class"":""inline"",""scale"":""15"",""width"":""512"",""height"":""652""}","da","1","100","0",""
